Designator,Mid X,Mid Y,Rotation,Layer
C1,164.95,-88.0,0.0,top
C10,164.773243,-107.995344,180.0,top
C11,164.8625,-103.0,180.0,top
C12,164.8625,-90.5,0.0,top
C13,154.0,-102.9625,270.0,top
C14,169.0,-90.5,0.0,top
C15,168.9625,-100.5,0.0,top
C2,152.0,-103.0,270.0,top
C3,133.7,-95.5,0.0,top
C4,158.0,-89.0,0.0,top
C5,143.05,-87.5,180.0,top
C6,143.0,-95.0,180.0,top
C7,147.0,-106.3,270.0,top
C8,168.9625,-93.0,0.0,top
C9,169.0,-95.5,0.0,top
J1,136.25,-104.0,180.0,top
J2,181.0,-95.57,0.0,top
R1,147.05,-100.0,0.0,top
R10,147.0,-97.5,0.0,top
R11,164.777179,-105.478811,180.0,top
R12,164.9,-95.5,0.0,top
R13,169.0,-98.0,180.0,top
R14,164.9,-98.0,0.0,top
R15,164.9,-100.5,0.0,top
R2,147.05,-84.5,180.0,top
R3,143.0,-92.5,0.0,top
R4,147.0,-90.0,0.0,top
R5,147.0,-87.5,0.0,top
R6,147.0,-92.5,0.0,top
R7,147.0,-95.0,0.0,top
R8,164.9,-93.0,0.0,top
R9,143.0,-97.5,0.0,top
RV1,133.96,-88.0,0.0,top
RV2,172.0,-104.995,0.0,top
U1,168.9375,-87.5,0.0,top
U2,157.0,-86.445,0.0,top
U3,156.0,-95.325,270.0,top
